ID,NAME,Host_ID,Host_identity_verified,Host_name,Neighbourhood_group,Neighbourhood,Latitude,Longditude,Country,Country_Code,instant_bookable,Cancellation_policy,Room_Type,Construction_year,Price,Service_fee,Minimum_nights,Number_of_reviews,Last_review,Reviews_per_month,Review_rate_number,Calculated_host_listings_count,Availability_365,House_rules,License
1052700,"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,unconfirmed,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,United States,US,TRUE,moderate,Private room,2012,966,10,7,16,5/31/2019,0.2,,6,,"House rules are just common sense; especially take care not to be too noisy for the neighbors. Also no smoking inside. Also I'm quite attached to the Rietveld chair, so be careful with it :).",
2517952,Charming BK Townhouse Home by Highland Park!,20928354629,verified,Megan,Brooklyn,Cypress Hills,40.68505,-73.8718,United States,US,FALSE,moderate,Entire home/apt,2008,53,11,2,78,6/30/2019,2.49,3,1,237,Have fun and be respectful of  others Pets are allowed after discussion as long as they are well trained and picked up after.,
5761610,"Cosy Apt. in Brooklyn, near subway",74647719983,verified,Julia,Brooklyn,Flatbush,40.63915,-73.95451,United States,US,FALSE,strict,Entire home/apt,2017,53,11,6,33,5/31/2017,0.69,5,1,68,"Inn Boston Reservations requests that noise levels remain moderate to low, and that all guests take into consideration those in the surrounding suites. Depending on the scale of the broken rules, guests may be contacted to request a lower noise level or asked to leave. In the event that the guests are required to vacate the unit, no refund will be provided.",
2818403,Quiet and Sunny studio in EV,27648003295,unconfirmed,Pierre,Manhattan,East Village,40.72811,-73.98663,United States,US,FALSE,strict,Entire home/apt,2015,53,11,2,7,9/25/2016,0.11,1,1,12,"-Leave the apartment as you found it.  -Quiet time starts at 9pm. -Wearing shoes is okay, unless its raining or snowing. -Please respect us and our neighbors by not having any additional guests.  -Smoking is strictly prohibited. -No pets. -No packages may be sent to the house without host approval.",
7184335,Times Square Area Neat & clean and exclusive AAA+,39037250480,unconfirmed,Nir,Manhattan,Hell's Kitchen,40.75679,-73.99547,United States,US,FALSE,moderate,Entire home/apt,2019,53,11,30,18,5/19/2019,0.41,1,4,43,"1. Be respectful of me and my home 2. No Pets 3. No Smoking  4. No Children under 10. (The house is not child proof) 5. Remove your shoes 6. Check in is 3-11pm  7. Check out is 10am  *early check in or late check out must be arranged before the reservation starts and may not be accommodated* 8. The bathroom is a shared space, keep the sink clear, there is limited room for your bath products in the shower.",
6561340,Bright Private room NYC Near train,43482597011,verified,Daljit,Queens,Astoria,40.75818,-73.92679,United States,US,FALSE,strict,Private room,2007,53,11,2,191,6/30/2019,4,4,3,234,"All guests are expected to be respectful and mindful of shared spaces, including bathroom, kitchen, and TV room. This includes cleaning up after you and your group in all shared areas. Absolutely no smoking. Guests arriving or returning after 9:00pm must maintain a courteous volume in consideration of other guests. Pets are welcome! If you have a pet and use the backyard, please clean up after your pet.",
5124256,Gorgeous 6 BED Family Home / Williamsburg,21654037156,unconfirmed,Jason,Brooklyn,Williamsburg,40.71544,-73.94771,United States,US,FALSE,flexible,Entire home/apt,2011,54,11,5,137,6/21/2019,2.63,1,1,416,"We want our guests to be comfortable and enjoy not just our house but our city.  To those ends we welcome inquiries about what to do and where to go.  Our guests should feel free to use the kitchen and living room and not feel confined to ""their room"". Store your food in the fridge, eat your meal on the terrace, read a book on the couch or hammock.  We request only your general consideration of living with others.  Our one hard and fast rule is: No smoking on the property. ",
5859919,Cozy 1 BR in ideal location,45022637520,verified,Amanda,Manhattan,Chelsea,40.74121,-74.00122,United States,US,TRUE,flexible,Entire home/apt,2007,54,11,6,2,6/26/2017,0.04,2,1,250,"Hi! So here are just some rules to make our experience more joyful and peaceful. We love to make our guest feel at home, however it's important to be mindful  of these few things while staying in our home: feel free to use our kitchen, but remember to clean up after yourself, we do not provide toiletries nor do we provide towels, you may not bring unannounced guests or have anyone stay over that is not part of our initial agreement, we work throughout the week and it's important that we be mindful and respectful of this, no parties, loud music, or drugs in our home. And please please clean up after yourself when you use our bathroom. Smoking allowed in the room.",
5552840,Furnished Room with View of E River,26885656134,unconfirmed,Judy,Manhattan,Kips Bay,40.73789,-73.97493,United States,US,FALSE,strict,Private room,2004,54,11,1,2,6/29/2015,0.04,4,1,228,We just ask that you respect the other guests and residents in the building.,
6640319,Sunny apartment in Greenpoint,39960006574,verified,Eric,Brooklyn,Greenpoint,40.72971,-73.95834,United States,US,FALSE,strict,Private room,2022,55,11,7,2,9/18/2015,0.04,5,1,129,"Please do not smoke or do drugs in our home, and please do not have parties.  There is no glass allowed on the roof (which is on the 9th floor).",
5298782,PRIVATE BEDROOM on Lower East Side,58936283717,unconfirmed,Daniel,Manhattan,Chinatown,40.71758,-73.99201,United States,US,FALSE,moderate,Private room,2012,55,11,1,2,6/25/2017,0.08,5,1,216,,
5341862,Awesome Place in the Heart of EV,36891043836,unconfirmed,Arpan,Manhattan,East Village,40.72753,-73.98749,United States,US,TRUE,strict,Private room,2018,55,11,1,1,5/22/2015,0.02,3,1,230,,
2225233,Tribeca Loft w/ Private Elevator,4089871990,unconfirmed,Jon,Manhattan,Tribeca,40.72008,-74.0043,United States,US,TRUE,flexible,Entire home/apt,2004,55,11,1,25,6/22/2019,0.36,5,3,194,"Absolutely NEVER any smoking of any kind. Please be reasonably quiet (""No partying""!) Sheets, towels and other cleaning are done by me.  I do these things at different times.  Always before dinner time (or before you arrive it's a really late arrival). Probably before 3pm, during the school year at about 1pm usually.  If you have really specific needs, you should speak up ahead of time.",
5877593,"Private Floor, 1BR 1BTH, PR Entry",96715340596,unconfirmed,Tammy,Manhattan,Upper West Side,40.79745,-73.96936,United States,US,TRUE,flexible,Entire home/apt,2004,55,11,4,16,4/20/2018,0.32,4,3,227,"No pets and absolutely no smoking.  We expect guests to leave the place as they saw it when they first arrived and be clean, respectful, and responsible.",
1925334,Zen Holiday Getaway,24705642371,verified,Chanelle,Brooklyn,Bedford-Stuyvesant,40.68444,-73.95692,United States,US,FALSE,flexible,Entire home/apt,2020,56,11,7,1,5/23/2015,0.02,2,1,58,No smoking and no pets allowed.,
4951386,"Spacious, Bright, & Modern Apt",2542746293,verified,Evan,Brooklyn,Bedford-Stuyvesant,40.6856,-73.95332,United States,US,TRUE,strict,Entire home/apt,2005,56,11,3,45,12/24/2018,0.96,1,1,91,,
3648510,Cozy BR in heart of Manhattan (Hell's Kitchen),43569315247,verified,Thomas,Manhattan,Hell's Kitchen,40.76496,-73.99073,United States,US,FALSE,moderate,Private room,2009,56,11,3,10,7/15/2018,0.58,3,1,175,This is a quiet building with great neighbors so please treat it with respect when late at night.  This is our 2nd home so please treat it like your own and leave it like you found it.  No Smoking (other than on the deck) and no pets please. Thanks!,
7227966,AMAZING  2BR Apartment Elev/laundry!,95036525527,unconfirmed,Mike,Manhattan,Midtown,40.7569,-73.96408,United States,US,FALSE,strict,Entire home/apt,2013,56,11,30,1,1/27/2017,0.03,4,52,17,#NAME?,
2674805,Beautiful 1 bdrm in 2 bdrm apt,79174380251,unconfirmed,Allison,Brooklyn,Williamsburg,40.71284,-73.93965,United States,US,FALSE,flexible,Private room,2008,57,11,3,19,6/28/2018,0.41,2,2,303,"- NO PETS!  NO SMOKING ON PREMISES! NO PARTY! A printed house rule will be provided. Please be respectful to others when all rooms are booked. 10 AM Check-out and Check-in is between 12 PM (noon) - 3 PM.   Late check in after 8 pm is $50, lock out is $50. Respect yourself, Respect others, clean up after yourself.  No Smoking/drinking in apt.  Thank You!  Location Rules: The ""Exact Address Location Is Not Disclosed For Security Reasons"" And Is Given Out 24 Hours Prior to Check-in.  If This Is a Problem for You, Please STOP Here And Contact Other Hosts for Your Stay.   This Is a Part Of My House Rules.",
3844024,Reno 2BR~prime union squar~,78457303164,verified,Host,Manhattan,East Village,40.73268,-73.98689,United States,US,FALSE,flexible,Entire home/apt,2007,57,11,30,7,10/22/2017,0.14,4,39,347,- No loud music after 9 pm please,
2028614,"Spacious & Comfy, Top of Central Pk",71675951774,verified,Adrian,Manhattan,Harlem,40.80394,-73.9506,United States,US,FALSE,moderate,Private room,2017,57,11,4,18,4/25/2019,0.23,3,1,34,This is a NO smoking building. NO smoking anywhere in the building or the cobblestone parking lot. There are other residents in the building. Please avoid loud music or late night parties.,
3787137,Available Manhattan Apt,65031026624,verified,Neal,Manhattan,Harlem,40.82279,-73.94947,United States,US,FALSE,flexible,Entire home/apt,2021,57,11,3,8,8/13/2018,0.13,1,1,387,"No smoking Pets may be allowed (inquire for further information) This is not a rental unit, it is our home that we live in with our daughter on a full-time basis.  Please take care of it!",
1418875,Huge luxury 1BR apt near Central Park South(4 ppl),48710168809,verified,Brown,Manhattan,Upper East Side,40.76373,-73.96897,United States,US,TRUE,moderate,Entire home/apt,2011,57,11,3,5,12/31/2018,0.08,4,1,309,"- Please be quiet in the hallway/stairs late at night - I live in a small apartment building (5 apartments), my neighbors are young professionals (no college students) and are very quiet and polite  so please reciprocate - No overnight guests that are not on the reservation/have not been agreed upon in advance. - No smoking in the apartment, out the window, etc.   -Please be mindful of shutting off lights, air conditioners, etc when not in use/when leaving the apartment. -If you cook please take care of your dishes (you can use the dishwasher).",
1883911,"❤️ of Williamsburg, Private Entrance",3538313500,unconfirmed,Elli,Brooklyn,Williamsburg,40.71927,-73.95591,United States,US,FALSE,strict,Private room,2011,58,12,2,129,4/25/2019,1.67,2,3,241,No loud parties. No smoking. Please),
1368063,Prime Williamsburg Loft off Bedford,24138275549,verified,Hall,Brooklyn,Williamsburg,40.71628,-73.95737,United States,US,FALSE,strict,Private room,2003,58,12,2,241,6/29/2019,2.6,4,1,109,,
5450113,"Spacious, new studio, in Gramercy",64034828548,unconfirmed,Daniel,Manhattan,Gramercy,40.73697,-73.98074,United States,US,TRUE,strict,Entire home/apt,2012,58,12,7,5,8/24/2015,0.1,4,1,387,,
7329037,Spacious apartment in Harlem,16212577739,verified,Christine,Manhattan,Harlem,40.80541,-73.95198,United States,US,TRUE,moderate,Entire home/apt,2014,58,12,2,5,2/21/2016,0.11,3,1,182,,
2037451,Spacious 1 BR Near the Water UES,89720256069,verified,Nick,Manhattan,Upper East Side,40.77613,-73.94872,United States,US,TRUE,flexible,Entire home/apt,2016,58,12,4,1,5/24/2016,0.03,3,1,69,,
7775848,Manhattan  furnished 2 bedrooms #2,31517091710,verified,Marie-Louise,Manhattan,Upper West Side,40.7996,-73.9621,United States,US,FALSE,flexible,Entire home/apt,2009,58,12,4,114,6/20/2019,2.62,4,1,343,Enjoy and be respectful,
4207438,"Big 2BR, just minutes to Manhattan!",15550403395,verified,David,Queens,Woodside,40.7426,-73.90706,United States,US,FALSE,strict,Entire home/apt,2021,58,12,3,124,6/26/2019,2.2,3,1,72,Please note there is no elevator in this building and there are indeed stairs. And the stairwells are rather narrow. Do not book if either of these are a problem for you.,
1353703,The Notorious B.N.B. { The Wallace },90956192931,verified,Ryan,Brooklyn,Clinton Hill,40.68975,-73.96703,United States,US,TRUE,moderate,Private room,2022,59,12,1,43,4/14/2019,0.46,5,11,338,Please no dirty dishes behind. Thank you,
3835187,Spacious 5 BR house in Brooklyn,57145051678,unconfirmed,Alexandra,Brooklyn,Kensington,40.64295,-73.97632,United States,US,FALSE,strict,Entire home/apt,2014,59,12,3,20,8/14/2018,0.34,3,1,222,"We like to keep things quiet and peaceful and expect that our guests will be respectful of our space and belongings. No smoking, no illegal substances.",
1531544,Cozy 2 BD in Midtown West,76539538746,verified,Johnston,Manhattan,Hell's Kitchen,40.75643,-73.99046,United States,US,FALSE,strict,Entire home/apt,2003,59,12,7,13,6/17/2019,0.15,1,1,156,No Pets. No smoking. Please :),
1780631,1 BR - Garden - Broadway?,31741001537,unconfirmed,Ken,Manhattan,Upper East Side,40.77975,-73.94977,United States,US,TRUE,flexible,Private room,2016,59,12,1,160,6/27/2019,1.9,5,1,121,"Maintain cleanliness .  Please carry all the necessary items that is required for your stay , host cannot provide any of it . Also can accomodate females who are veg and eggatarians only",
6112873,"1Bdr Artist Apt. (L,M,J,Z trains)",179396972,verified,Hui & Jon,Brooklyn,Bushwick,40.6942,-73.92024,United States,US,FALSE,flexible,Entire home/apt,2007,60,12,4,11,5/22/2017,0.23,4,2,239,No Smoking No Pets,
4050032,Sunny 1 BR Brooklyn Loft Apartment,95102498831,verified,Sara,Brooklyn,Clinton Hill,40.68329,-73.9609,United States,US,FALSE,flexible,Entire home/apt,2010,60,12,4,3,10/22/2014,0.05,1,1,7,"Be courteous and respectful to people in the house. We like to keep it clean and tidy, so your help in keeping your areas clean is much appreciated.",
5201025,Welcome to Brooklyn!,61117077800,unconfirmed,Annalyn,Brooklyn,Kensington,40.63694,-73.97487,United States,US,TRUE,flexible,Private room,2016,60,12,3,8,10/18/2016,0.17,1,1,322,Must be 21 to book No loud music No parties No smoking No pets,
6215600,Spacious & Bright Artist Retreat,94264593362,verified,John And Laurie,Manhattan,Washington Heights,40.85487,-73.93777,United States,US,TRUE,moderate,Entire home/apt,2015,60,12,7,2,10/29/2015,0.04,2,1,65,,
6050463,Beautiful apartment in awesome Clinton Hill!,18401849962,unconfirmed,Xristina&Keith,Brooklyn,Bedford-Stuyvesant,40.69213,-73.95869,United States,US,TRUE,moderate,Entire home/apt,2011,61,12,15,5,5/20/2019,0.26,4,1,421,"No smoking. No pets. Children under 18 to be supervised at all times. More than 6 people can be accommodated if communicated in advance.  Please be respectful on the roof - quiet time after 10pm would be greatly appreciated.  This is a historic Victorian on three levels.  There is no elevator in the building or inside so please note if you have mobility issues.  Please strip all beds, except for mattress cover and place in 3rd floor bathroom along with all dirty/wet towels.  Please wash and put away all dishes.  If necessary, make sure the dishwasher is loaded and started before you leave.  Laundry is in the basement, if locked, please use the front door key.  Please ALWAYS leave your keys before you leave.  Lock the door on your way out by turning the button on the inside lock. Please ensure all trash is put in the designated recycle and landfill trash barrels.  There are extra bags in the kitchen closet.",
2144597,"Large Cozy Room #1, Landmark Home 1 block to PRATT",60543684090,verified,Erica,Brooklyn,Clinton Hill,40.68618,-73.96603,United States,US,FALSE,strict,Private room,2006,61,12,2,38,2/16/2019,0.5,4,6,226,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",
8150307,Exposed Brick in the East Village,32346090486,unconfirmed,Jenny,Manhattan,East Village,40.72464,-73.98861,United States,US,FALSE,moderate,Entire home/apt,2022,61,12,4,7,11/22/2018,0.19,1,1,418,,
4573060,New York Upper East Side Luxury Apt,14445896934,unconfirmed,Pete & Laurie,Manhattan,Upper East Side,40.77429,-73.95628,United States,US,FALSE,flexible,Entire home/apt,2007,61,12,7,8,8/29/2017,0.16,5,1,303,Please make sure the front house doors are locked when leaving. Please return keys to lock box upon check-out. Please limit use of the 2nd floor resident's bathroom to nighttime breaks only. The back areas of house are being renovated and are off-limits.,
5474966,NYC space,5098690310,verified,Susana,Manhattan,Washington Heights,40.85475,-73.93372,United States,US,TRUE,flexible,Shared room,2004,61,12,1,36,6/25/2019,3.03,2,1,189,Please respect the residents at the building by keeping noise down and absolutely no smoking.  Thank you.,
4983971,SUN FILLED 1BR in ARTSY FORT GREENE,52333484167,unconfirmed,Rob,Brooklyn,Fort Greene,40.68792,-73.97319,United States,US,FALSE,flexible,Entire home/apt,2003,62,12,21,12,8/13/2018,0.22,3,1,287,"The room is strictly non-smoking, however, you can smoke in the back porch. No drugs! No visitors without previous authorization. We do prefer adults since the house is not ""child proof"" and, we are full time workers. Babies OK!  Please, keep in mind that, this is not a hotel.  The room should be left in good condition and picked up when you leave.  Longer term renters use of kitchen and other facilities can be arranged.",
4930398,Huge 1 Bedroom in East Harlem,43767104330,unconfirmed,Lauren,Manhattan,East Harlem,40.79643,-73.93543,United States,US,FALSE,strict,Entire home/apt,2008,62,12,3,8,5/17/2017,0.15,5,1,368,"Quiet, clean, respectable, no smoking  Yes you can practice violin etc (*extra credit if you're a music student/musician, duh~)",
1656916,The biggest small apt in Manhattan,3528422754,unconfirmed,Mariana,Manhattan,Lower East Side,40.72232,-73.98686,United States,US,FALSE,flexible,Entire home/apt,2010,62,12,3,57,6/30/2019,0.7,5,1,112,No Smoking No Pets,
1026190,BEST BET IN HARLEM,2107606817,unconfirmed,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,US,TRUE,flexible,Entire home/apt,2006,966,12,7,97,6/13/2019,0.84,,1,152,- Quiet hours between 10pm-6am - Visitors in common spaces only,
5012691,Eclectic Loft Room 20 min-Union Sq!,74513014162,unconfirmed,Brett,Brooklyn,Bushwick,40.70745,-73.92255,United States,US,TRUE,strict,Private room,2006,63,13,1,12,3/16/2019,0.23,5,2,5,,
6110111,Exposed Brick Large Soho Nolita Apt,27144134600,verified,Andy,Manhattan,Chinatown,40.71813,-73.99665,United States,US,TRUE,flexible,Private room,2018,63,13,3,7,4/30/2019,0.18,3,1,270,,
1579594,SUNNY ZEN  FULL SERVICE HUGE STUDIO,29005331080,verified,Alda,Manhattan,Financial District,40.70917,-74.0146,United States,US,TRUE,flexible,Entire home/apt,2020,63,13,6,100,6/14/2019,1.14,2,1,404,,
2862035,Beautiful Furnished 1 Bedroom apt; Wash Hts,9871996941,verified,Todd,Manhattan,Inwood,40.86317,-73.92873,United States,US,TRUE,strict,Entire home/apt,2014,63,13,1,78,6/21/2019,1.81,5,1,309,,
5402062,The Manhattan Club studio New York,3813242707,verified,Brooke,Manhattan,Midtown,40.76365,-73.98057,United States,US,TRUE,strict,Entire home/apt,2003,63,13,2,8,12/14/2015,0.16,3,1,279,,
3721966,2 Story Loft!! Tribeca/Soho :-) best neighborhood,15918648762,verified,Josie,Manhattan,Tribeca,40.72113,-74.00478,United States,US,FALSE,strict,Entire home/apt,2004,63,13,3,73,6/14/2019,1.23,5,1,402,No smoking or parties allowed,
6123366,Lovely Room in Wonderful Apartment,87954091375,unconfirmed,Benjamin,Brooklyn,Bedford-Stuyvesant,40.68115,-73.95074,United States,US,TRUE,moderate,Private room,2012,64,13,1,2,7/15/2015,0.04,3,1,380,,
4300224,Sleeps 6 by Metro/Subway - 15 mns to Manhattan,65540595271,verified,Tony,Brooklyn,Bedford-Stuyvesant,40.68204,-73.95642,United States,US,TRUE,strict,Entire home/apt,2007,65,13,3,50,10/28/2018,0.97,2,3,95,,
1415561,GREAP STUDIO / 4PPL IN MIDTOWN,5182760229,verified,Myers,Brooklyn,Williamsburg,40.71073,-73.96207,United States,US,FALSE,strict,Private room,2009,65,13,1,30,6/28/2019,0.33,4,2,339,,
2079978,1 BR in large full floor apartment,34248771993,verified,Eddie,Manhattan,Civic Center,40.7123,-73.99946,United States,US,TRUE,flexible,Private room,2017,65,13,4,8,4/21/2019,0.11,2,2,90,"I have no doubt you will be respectful of the space but there are a few things we ask of you: 1. No smoking 2. The speakers aren't working so please don't try to reassemble them 3. Please no makeup on the towels (unfortunately, stained towels have to be replaced with a charge) 4. No parties (in an old building, the walls are thin so we need to be respectful of the neighbors) 5. Please try to clean up after yourself (old food in the fridge, etc.)",
4326734,CHEAP & CONVENIENT,38404715553,unconfirmed,Christine,Manhattan,East Harlem,40.78802,-73.95026,United States,US,TRUE,flexible,Entire home/apt,,65,13,4,68,6/25/2019,1.2,1,1,217,We expect guests to respect our neighbors and not be overly loud. No parties please. Absolutely no smoking.,
8076299,LES sweet bedroom (Female only),53646803311,unconfirmed,Sophia,Manhattan,Lower East Side,40.71504,-73.98879,United States,US,FALSE,strict,Private room,2003,65,13,1,2,6/22/2016,0.05,1,1,237,"Please bring your own daily essentials, I provide nothing as of now. Please take off your shoes when you get in the house. Please don't bring any friends over unless they are confirmed guests. Please keep quiet after midnight. When booking for a weekend, please book on a Friday and for at least 3 nights, as I will not be around on Saturdays and Sundays to accept bookings. If neighbors asks, just tell them you're here to visit a friend. Don't tell then your guests from AirBNB. Please let me know exactly what time you will get to my house, or at least an hour ahead. I am not always at home so I will have to go hand keys to you and I will only have limited time. Thanks!",
4872959,East River view,2483761846,unconfirmed,Pia,Manhattan,Roosevelt Island,40.76193,-73.94942,United States,US,FALSE,strict,Private room,2004,65,13,3,43,5/28/2019,0.81,2,1,395,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
8051998,5 minutes to JFK airport bed/bath -room A,88243692561,verified,Marilee & Gene,Queens,Rosedale,40.67836,-73.729,United States,US,FALSE,moderate,Private room,2015,65,13,1,54,5/19/2019,1.26,1,1,341,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions, and the year-round tenants must be respected. There is no smoking allowed in the apartments and significant fees will take place if occurs.",
4403504,"Sunny, Artsy Brooklyn Room",35198478616,verified,Iyabo,Brooklyn,Crown Heights,40.6771,-73.95994,United States,US,TRUE,moderate,Private room,2021,66,13,2,2,11/15/2015,0.04,1,1,276,"Treat the home as if it were your own. If you need to smoke, you can smoke on the porch",
7820584,Room #1 in Hip Harlem Garden Apt.,7498024951,verified,Mama,Manhattan,East Harlem,40.79735,-73.93386,United States,US,FALSE,flexible,Private room,2007,66,13,2,80,6/23/2019,1.83,3,4,114,#NAME?,
3048160,"Coffee,Tea&Milk Astor Place Lodging",1468192875,unconfirmed,John,Manhattan,East Village,40.72672,-73.98851,United States,US,TRUE,strict,Shared room,2013,66,13,30,125,12/31/2017,1.88,4,1,321,Please be respectful of my things! I have a lot of stuff that I have collected over the years. Absolutely NO smoking and NO parties  This is a really relaxing space and the neighbors are all really cool.  -Pets are allowed -Please clean after yourself and dispose of the trash properly,
3292276,"Cozy, close to everything in NY  :)",34741040372,unconfirmed,Jovana,Queens,Long Island City,40.74627,-73.94666,United States,US,FALSE,strict,Private room,2021,66,13,2,126,6/29/2019,1.98,5,1,8,,
